school,season,url,status,reason
Marian University (WI),2026,https://mariansabres.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Mary Baldwin University,2022,,no_url,no URL (program did not exist that season or URL unknown)
Mary Baldwin University,2023,,no_url,no URL (program did not exist that season or URL unknown)
Mary Baldwin University,2024,,no_url,no URL (program did not exist that season or URL unknown)
Mary Baldwin University,2025,,no_url,no URL (program did not exist that season or URL unknown)
Mary Baldwin University,2026,https://mbufightingsquirrels.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Massachusetts Maritime Academy,2022,https://www.mmabucs.com/sports/bsb/2021-22/teams/massmaritime,unresolved,no working URL pattern found on live site
Massachusetts Maritime Academy,2023,https://www.mmabucs.com/sports/bsb/2022-23/teams/massmaritime,unresolved,no working URL pattern found on live site
Massachusetts Maritime Academy,2024,https://www.mmabucs.com/sports/bsb/2023-24/teams/massmaritime,unresolved,no working URL pattern found on live site
Massachusetts Maritime Academy,2025,https://www.mmabucs.com/sports/bsb/2024-25/teams/massmaritime,unresolved,no working URL pattern found on live site
Massachusetts Maritime Academy,2026,https://www.mmabucs.com/sports/bsb/2025-26/teams/massmaritime,unresolved,no working URL pattern found on live site
Methodist University,2022,https://gomumonarchs.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Methodist University,2023,https://gomumonarchs.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Methodist University,2024,https://gomumonarchs.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Methodist University,2025,https://gomumonarchs.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Methodist University,2026,https://gomumonarchs.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Mitchell College,2022,https://www.mitchellathletics.com/sports/bsb/2021-22/teams/mitchell,unresolved,no working URL pattern found on live site
Mitchell College,2023,https://www.mitchellathletics.com/sports/bsb/2022-23/teams/mitchell,unresolved,no working URL pattern found on live site
Mitchell College,2024,https://www.mitchellathletics.com/sports/bsb/2023-24/teams/mitchell,unresolved,no working URL pattern found on live site
Mitchell College,2025,https://www.mitchellathletics.com/sports/bsb/2024-25/teams/mitchell,unresolved,no working URL pattern found on live site
Mitchell College,2026,https://www.mitchellathletics.com/sports/bsb/2025-26/teams/mitchell,unresolved,no working URL pattern found on live site
Moravian University,2022,https://moraviansports.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Moravian University,2023,https://moraviansports.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Moravian University,2024,https://moraviansports.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Moravian University,2025,https://moraviansports.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Moravian University,2026,https://moraviansports.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
